id,name-form,type_1,type_2,data_species,data_height,data_weight,ability,training_catch_rate,training_base_exp,training_growth_rate,breeding_gender_male,breeding_gender_female,stats_hp,stats_attack,stats_defense,stats_sp_atk,stats_sp_def,stats_speed,stats_total,img
10,Bulbasaur-Bulbasaur,Grass,Poison,Seed Pokémon,0.7,6.9,Overgrow,45,64,Medium Slow,87.5% male,12.5% female,45,49,49,65,65,45,318,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
20,Ivysaur-Ivysaur,Grass,Poison,Seed Pokémon,1.0,13.0,Overgrow,45,142,Medium Slow,87.5% male,12.5% female,60,62,63,80,80,60,405,https://img.pokemondb.net/artwork/large/ivysaur.jpg
30,Venusaur-Venusaur,Grass,Poison,Seed Pokémon,2.0,100.0,Overgrow,45,236,Medium Slow,87.5% male,12.5% female,80,82,83,100,100,80,525,https://img.pokemondb.net/artwork/large/venusaur.jpg
31,Venusaur-Mega Venusaur,Grass,Poison,Seed Pokémon,2.4,155.5,Thick Fat,45,281,Medium Slow,87.5% male,12.5% female,80,100,123,122,120,80,625,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg
40,Charmander-Charmander,Fire,-,Lizard Pokémon,0.6,8.5,Blaze,45,62,Medium Slow,87.5% male,12.5% female,39,52,43,60,50,65,309,https://img.pokemondb.net/artwork/large/charmander.jpg
50,Charmeleon-Charmeleon,Fire,-,Flame Pokémon,1.1,19.0,Blaze,45,142,Medium Slow,87.5% male,12.5% female,58,64,58,80,65,80,405,https://img.pokemondb.net/artwork/large/charmeleon.jpg
60,Charizard-Charizard,Fire,Flying,Flame Pokémon,1.7,90.5,Blaze,45,240,Medium Slow,87.5% male,12.5% female,78,84,78,109,85,100,534,https://img.pokemondb.net/artwork/large/charizard.jpg
61,Charizard-Mega Charizard X,Fire,Flying,Flame Pokémon,1.7,110.5,Tough Claws,45,285,Medium Slow,87.5% male,12.5% female,78,130,111,130,85,100,634,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg
62,Charizard-Mega Charizard Y,Fire,Flying,Flame Pokémon,1.7,100.5,Drought,45,285,Medium Slow,87.5% male,12.5% female,78,104,78,159,115,100,634,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg
70,Squirtle-Squirtle,Water,-,Tiny Turtle Pokémon,0.5,9.0,Torrent,45,63,Medium Slow,87.5% male,12.5% female,44,48,65,50,64,43,314,https://img.pokemondb.net/artwork/large/squirtle.jpg
80,Wartortle-Wartortle,Water,-,Turtle Pokémon,1.0,22.5,Torrent,45,142,Medium Slow,87.5% male,12.5% female,59,63,80,65,80,58,405,https://img.pokemondb.net/artwork/large/wartortle.jpg
90,Blastoise-Blastoise,Water,-,Shellfish Pokémon,1.6,85.5,Torrent,45,239,Medium Slow,87.5% male,12.5% female,79,83,100,85,105,78,530,https://img.pokemondb.net/artwork/large/blastoise.jpg
91,Blastoise-Mega Blastoise,Water,-,Shellfish Pokémon,1.6,101.1,Mega Launcher,45,284,Medium Slow,87.5% male,12.5% female,79,103,120,135,115,78,630,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg
100,Caterpie-Caterpie,Bug,-,Worm Pokémon,0.3,2.9,Shield Dust,255,39,Medium Fast,50% male,50% female,45,30,35,20,20,45,195,https://img.pokemondb.net/artwork/large/caterpie.jpg
110,Metapod-Metapod,Bug,-,Cocoon Pokémon,0.7,9.9,Shed Skin,120,72,Medium Fast,50% male,50% female,50,20,55,25,25,30,205,https://img.pokemondb.net/artwork/large/metapod.jpg
120,Butterfree-Butterfree,Bug,Flying,Butterfly Pokémon,1.1,32.0,Compound Eyes,45,178,Medium Fast,50% male,50% female,60,45,50,90,80,70,395,https://img.pokemondb.net/artwork/large/butterfree.jpg
130,Weedle-Weedle,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,Shield Dust,255,39,Medium Fast,50% male,50% female,40,35,30,20,20,50,195,https://img.pokemondb.net/artwork/large/weedle.jpg
