id,name-form,type_1,type_2,data_species,img
10,Bulbasaur-Bulbasaur,Grass,Poison,Seed Pokémon,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
20,Ivysaur-Ivysaur,Grass,Poison,Seed Pokémon,https://img.pokemondb.net/artwork/large/ivysaur.jpg
30,Venusaur-Venusaur,Grass,Poison,Seed Pokémon,https://img.pokemondb.net/artwork/large/venusaur.jpg
31,Venusaur-Mega Venusaur,Grass,Poison,Seed Pokémon,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg
40,Charmander-Charmander,Fire,-,Lizard Pokémon,https://img.pokemondb.net/artwork/large/charmander.jpg
50,Charmeleon-Charmeleon,Fire,-,Flame Pokémon,https://img.pokemondb.net/artwork/large/charmeleon.jpg
60,Charizard-Charizard,Fire,Flying,Flame Pokémon,https://img.pokemondb.net/artwork/large/charizard.jpg
61,Charizard-Mega Charizard X,Fire,Flying,Flame Pokémon,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg
62,Charizard-Mega Charizard Y,Fire,Flying,Flame Pokémon,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg
70,Squirtle-Squirtle,Water,-,Tiny Turtle Pokémon,https://img.pokemondb.net/artwork/large/squirtle.jpg
80,Wartortle-Wartortle,Water,-,Turtle Pokémon,https://img.pokemondb.net/artwork/large/wartortle.jpg
90,Blastoise-Blastoise,Water,-,Shellfish Pokémon,https://img.pokemondb.net/artwork/large/blastoise.jpg
91,Blastoise-Mega Blastoise,Water,-,Shellfish Pokémon,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg
100,Caterpie-Caterpie,Bug,-,Worm Pokémon,https://img.pokemondb.net/artwork/large/caterpie.jpg
110,Metapod-Metapod,Bug,-,Cocoon Pokémon,https://img.pokemondb.net/artwork/large/metapod.jpg
120,Butterfree-Butterfree,Bug,Flying,Butterfly Pokémon,https://img.pokemondb.net/artwork/large/butterfree.jpg
130,Weedle-Weedle,Bug,Poison,Hairy Bug Pokémon,https://img.pokemondb.net/artwork/large/weedle.jpg
140,Kakuna-Kakuna,Bug,Poison,Cocoon Pokémon,https://img.pokemondb.net/artwork/large/kakuna.jpg
150,Beedrill-Beedrill,Bug,Poison,Poison Bee Pokémon,https://img.pokemondb.net/artwork/large/beedrill.jpg
151,Beedrill-Mega Beedrill,Bug,Poison,Poison Bee Pokémon,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg
160,Pidgey-Pidgey,Normal,Flying,Tiny Bird Pokémon,https://img.pokemondb.net/artwork/large/pidgey.jpg
170,Pidgeotto-Pidgeotto,Normal,Flying,Bird Pokémon,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
180,Pidgeot-Pidgeot,Normal,Flying,Bird Pokémon,https://img.pokemondb.net/artwork/large/pidgeot.jpg
181,Pidgeot-Mega Pidgeot,Normal,Flying,Bird Pokémon,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg
190,Rattata-Rattata,Normal,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/rattata.jpg
191,Rattata-Alolan Rattata,Normal,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg
200,Raticate-Raticate,Normal,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/raticate.jpg
201,Raticate-Alolan Raticate,Normal,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg
210,Spearow-Spearow,Normal,Flying,Tiny Bird Pokémon,https://img.pokemondb.net/artwork/large/spearow.jpg
220,Fearow-Fearow,Normal,Flying,Beak Pokémon,https://img.pokemondb.net/artwork/large/fearow.jpg
230,Ekans-Ekans,Poison,-,Snake Pokémon,https://img.pokemondb.net/artwork/large/ekans.jpg
240,Arbok-Arbok,Poison,-,Cobra Pokémon,https://img.pokemondb.net/artwork/large/arbok.jpg
250,Pikachu-Pikachu,Electric,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/pikachu.jpg
251,Pikachu-Partner Pikachu,Electric,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/pikachu-lets-go.jpg
260,Raichu-Raichu,Electric,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/raichu.jpg
261,Raichu-Alolan Raichu,Electric,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/raichu-alolan.jpg
270,Sandshrew-Sandshrew,Ground,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/sandshrew.jpg
271,Sandshrew-Alolan Sandshrew,Ground,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/sandshrew-alolan.jpg
280,Sandslash-Sandslash,Ground,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/sandslash.jpg
281,Sandslash-Alolan Sandslash,Ground,-,Mouse Pokémon,https://img.pokemondb.net/artwork/large/sandslash-alolan.jpg
290,Nidoran♀-Nidoran♀,Poison,-,Poison Pin Pokémon,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
300,Nidorina-Nidorina,Poison,-,Poison Pin Pokémon,https://img.pokemondb.net/artwork/large/nidorina.jpg
310,Nidoqueen-Nidoqueen,Poison,Ground,Drill Pokémon,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
320,Nidoran♂-Nidoran♂,Poison,-,Poison Pin Pokémon,https://img.pokemondb.net/artwork/large/nidoran-m.jpg
330,Nidorino-Nidorino,Poison,-,Poison Pin Pokémon,https://img.pokemondb.net/artwork/large/nidorino.jpg
340,Nidoking-Nidoking,Poison,Ground,Drill Pokémon,https://img.pokemondb.net/artwork/large/nidoking.jpg
350,Clefairy-Clefairy,Fairy,-,Fairy Pokémon,https://img.pokemondb.net/artwork/large/clefairy.jpg
360,Clefable-Clefable,Fairy,-,Fairy Pokémon,https://img.pokemondb.net/artwork/large/clefable.jpg
370,Vulpix-Vulpix,Fire,-,Fox Pokémon,https://img.pokemondb.net/artwork/large/vulpix.jpg
371,Vulpix-Alolan Vulpix,Fire,-,Fox Pokémon,https://img.pokemondb.net/artwork/large/vulpix-alolan.jpg
380,Ninetales-Ninetales,Fire,-,Fox Pokémon,https://img.pokemondb.net/artwork/large/ninetales.jpg
381,Ninetales-Alolan Ninetales,Fire,-,Fox Pokémon,https://img.pokemondb.net/artwork/large/ninetales-alolan.jpg
390,Jigglypuff-Jigglypuff,Normal,Fairy,Balloon Pokémon,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
400,Wigglytuff-Wigglytuff,Normal,Fairy,Balloon Pokémon,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
410,Zubat-Zubat,Poison,Flying,Bat Pokémon,https://img.pokemondb.net/artwork/large/zubat.jpg
420,Golbat-Golbat,Poison,Flying,Bat Pokémon,https://img.pokemondb.net/artwork/large/golbat.jpg
430,Oddish-Oddish,Grass,Poison,Weed Pokémon,https://img.pokemondb.net/artwork/large/oddish.jpg
440,Gloom-Gloom,Grass,Poison,Weed Pokémon,https://img.pokemondb.net/artwork/large/gloom.jpg
450,Vileplume-Vileplume,Grass,Poison,Flower Pokémon,https://img.pokemondb.net/artwork/large/vileplume.jpg
460,Paras-Paras,Bug,Grass,Mushroom Pokémon,https://img.pokemondb.net/artwork/large/paras.jpg
470,Parasect-Parasect,Bug,Grass,Mushroom Pokémon,https://img.pokemondb.net/artwork/large/parasect.jpg
480,Venonat-Venonat,Bug,Poison,Insect Pokémon,https://img.pokemondb.net/artwork/large/venonat.jpg
490,Venomoth-Venomoth,Bug,Poison,Poison Moth Pokémon,https://img.pokemondb.net/artwork/large/venomoth.jpg
500,Diglett-Diglett,Ground,-,Mole Pokémon,https://img.pokemondb.net/artwork/large/diglett.jpg
501,Diglett-Alolan Diglett,Ground,-,Mole Pokémon,https://img.pokemondb.net/artwork/large/diglett-alolan.jpg
510,Dugtrio-Dugtrio,Ground,-,Mole Pokémon,https://img.pokemondb.net/artwork/large/dugtrio.jpg
511,Dugtrio-Alolan Dugtrio,Ground,-,Mole Pokémon,https://img.pokemondb.net/artwork/large/dugtrio-alolan.jpg
520,Meowth-Meowth,Normal,-,Scratch Cat Pokémon,https://img.pokemondb.net/artwork/large/meowth.jpg
521,Meowth-Alolan Meowth,Normal,-,Scratch Cat Pokémon,https://img.pokemondb.net/artwork/large/meowth-alolan.jpg
522,Meowth-Galarian Meowth,Normal,-,Scratch Cat Pokémon,https://img.pokemondb.net/artwork/large/meowth-galarian.jpg
530,Persian-Persian,Normal,-,Classy Cat Pokémon,https://img.pokemondb.net/artwork/large/persian.jpg
531,Persian-Alolan Persian,Normal,-,Classy Cat Pokémon,https://img.pokemondb.net/artwork/large/persian-alolan.jpg
540,Psyduck-Psyduck,Water,-,Duck Pokémon,https://img.pokemondb.net/artwork/large/psyduck.jpg
550,Golduck-Golduck,Water,-,Duck Pokémon,https://img.pokemondb.net/artwork/large/golduck.jpg
560,Mankey-Mankey,Fighting,-,Pig Monkey Pokémon,https://img.pokemondb.net/artwork/large/mankey.jpg
570,Primeape-Primeape,Fighting,-,Pig Monkey Pokémon,https://img.pokemondb.net/artwork/large/primeape.jpg
580,Growlithe-Growlithe,Fire,-,Puppy Pokémon,https://img.pokemondb.net/artwork/large/growlithe.jpg
581,Growlithe-Hisuian Growlithe,Fire,-,Scout Pokémon,https://img.pokemondb.net/artwork/large/growlithe-hisuian.jpg
590,Arcanine-Arcanine,Fire,-,Legendary Pokémon,https://img.pokemondb.net/artwork/large/arcanine.jpg
591,Arcanine-Hisuian Arcanine,Fire,-,Legendary Pokémon,https://img.pokemondb.net/artwork/large/arcanine-hisuian.jpg
600,Poliwag-Poliwag,Water,-,Tadpole Pokémon,https://img.pokemondb.net/artwork/large/poliwag.jpg
610,Poliwhirl-Poliwhirl,Water,-,Tadpole Pokémon,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
