id_nb,name-form,type_1,type_2,link,img,data_species,data_height,data_weight,first_ability,second_ability,hidden_ability,training_catch_rate,training_base_exp,training_growth_rate,breeding_gender_male,breeding_gender_female,egg_group1,egg_group2,egg_cycle,stats_hp,stats_attack,stats_defense,stats_sp_atk,stats_sp_def,stats_speed,stats_total,
#0010,Bulbasaur-Bulbasaur,Grass,Poison,/pokedex/bulbasaur,https://img.pokemondb.net/artwork/large/bulbasaur.jpg,Seed Pokémon,0.7,6.9,Overgrow,-,Chlorophyll,45,64,Medium Slow,87.5% male,12.5% female,Grass,Monster,20,45,49,49,65,65,45,318,
#0020,Ivysaur-Ivysaur,Grass,Poison,/pokedex/ivysaur,https://img.pokemondb.net/artwork/large/ivysaur.jpg,Seed Pokémon,1.0,13.0,Overgrow,-,Chlorophyll,45,142,Medium Slow,87.5% male,12.5% female,Grass,Monster,20,60,62,63,80,80,60,405,
#0030,Venusaur-Venusaur,Grass,Poison,/pokedex/venusaur,https://img.pokemondb.net/artwork/large/venusaur.jpg,Seed Pokémon,2.0,100.0,Overgrow,-,Chlorophyll,45,236,Medium Slow,87.5% male,12.5% female,Grass,Monster,20,80,82,83,100,100,80,525,
#0031,Venusaur-Mega Venusaur,Grass,Poison,/pokedex/venusaur,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg,Seed Pokémon,2.4,155.5,Thick Fat,-,-,45,281,Medium Slow,87.5% male,12.5% female,Grass,Monster,20,80,100,123,122,120,80,625,
#0040,Charmander-Charmander,Fire,-,/pokedex/charmander,https://img.pokemondb.net/artwork/large/charmander.jpg,Lizard Pokémon,0.6,8.5,Blaze,-,Solar Power,45,62,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,39,52,43,60,50,65,309,
#0050,Charmeleon-Charmeleon,Fire,-,/pokedex/charmeleon,https://img.pokemondb.net/artwork/large/charmeleon.jpg,Flame Pokémon,1.1,19.0,Blaze,-,Solar Power,45,142,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,58,64,58,80,65,80,405,
#0060,Charizard-Charizard,Fire,Flying,/pokedex/charizard,https://img.pokemondb.net/artwork/large/charizard.jpg,Flame Pokémon,1.7,90.5,Blaze,-,Solar Power,45,240,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,78,84,78,109,85,100,534,
#0061,Charizard-Mega Charizard X,Fire,Flying,/pokedex/charizard,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg,Flame Pokémon,1.7,110.5,Tough Claws,-,-,45,285,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,78,130,111,130,85,100,634,
#0062,Charizard-Mega Charizard Y,Fire,Flying,/pokedex/charizard,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg,Flame Pokémon,1.7,100.5,Drought,-,-,45,285,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,78,104,78,159,115,100,634,
#0070,Squirtle-Squirtle,Water,-,/pokedex/squirtle,https://img.pokemondb.net/artwork/large/squirtle.jpg,Tiny Turtle Pokémon,0.5,9.0,Torrent,-,Rain Dish,45,63,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,44,48,65,50,64,43,314,
